book_name,author,genres_list,pages_format,first_published_year,rating,ratings_count,score,votes,book_url
The Secret Garden,Frances Hodgson Burnett,"['Classics', 'Fiction', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Audiobook']","331 pages, Hardcover",1911, 4.17 avg rating,"1,288,607 ratings","score: 728,660","7,965 people voted",https://www.goodreads.com/book/show/2998.The_Secret_Garden
The Princess Bride,William Goldman,"['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Adventure', 'Young Adult']","429 pages, Paperback",1973, 4.27 avg rating,"945,646 ratings","score: 727,246","7,739 people voted",https://www.goodreads.com/book/show/21787.The_Princess_Bride
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Audiobook', 'Science Fiction Fantasy']","835 pages, Mass Market Paperback",1996, 4.45 avg rating,"2,720,575 ratings","score: 723,954","7,703 people voted",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Time Traveler's Wife,Audrey Niffenegger,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Book Club', 'Contemporary']","537 pages, ebook",2003,really liked it 4.00 avg rating,"1,854,436 ratings","score: 706,222","7,396 people voted",https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Harry Potter', 'Magic', 'Audiobook', 'Childrens']","759 pages, Hardcover",2007, 4.62 avg rating,"4,087,629 ratings","score: 687,480","7,403 people voted",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Odyssey,Homer,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature']","541 pages, Paperback",701, 3.83 avg rating,"1,184,163 ratings","score: 665,478","7,251 people voted",https://www.goodreads.com/book/show/1381.The_Odyssey
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"['Classics', 'Horror', 'Fiction', 'Science Fiction', 'Gothic', 'Fantasy', 'School']","260 pages, Paperback",1818, 3.90 avg rating,"1,865,306 ratings","score: 662,091","7,269 people voted",https://www.goodreads.com/book/show/35031085-frankenstein
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']","218 pages, Paperback",1962, 3.97 avg rating,"1,279,216 ratings","score: 642,955","6,881 people voted",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Book Club', 'Fantasy']","311 pages, Paperback",1985, 4.15 avg rating,"2,399,741 ratings","score: 640,400","6,949 people voted",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
The Kite Runner,Khaled Hosseini,"['Fiction', 'Historical Fiction', 'Classics', 'Contemporary', 'Book Club', 'Novels', 'Historical']","371 pages, Paperback",2003, 4.36 avg rating,"3,471,086 ratings","score: 638,116","6,884 people voted",https://www.goodreads.com/book/show/77203.The_Kite_Runner
